date,c,d,act,out,pol1,pol2,pol3
2020-03-21,7.953694178186313e-05,8.567833829647404e-07,0.30990234673628725,0.4362511460073671,0.999024078810469,0.8995651658639804,0.17790390328280947
2020-03-22,0.00010441378117864794,1.3219899854338776e-06,0.36263628869520176,0.28717048201358275,0.999024078810469,0.8995651658639804,0.24796565027832668
2020-03-23,0.0001312618917182696,1.6466305641353626e-06,0.49673799229106835,0.5355016850980138,0.9990738621701887,0.9579430612169093,0.3819461286884816
2020-03-24,0.00016068035240678595,2.188813798667739e-06,0.46604754504460544,0.5357004140894469,0.9992331622277308,0.9725125638892448,0.5306216542005386
2020-03-25,0.00020073162875029792,2.89499072759571e-06,0.5281112021810017,0.5300145195327207,0.999360681257784,0.9821596519447364,0.583743879269793
2020-03-26,0.00024559896481289643,3.691531528945744e-06,0.45428262121225155,0.5287627813176587,0.9994316497379762,0.9821596519447364,0.625999854435129
2020-03-27,0.0002967382229836033,4.839487389714888e-06,0.46691186263961554,0.532940866379594,0.9994862156470095,0.9821596519447364,0.6736267094555672
2020-03-28,0.0003495441925789841,6.305390209006122e-06,0.3959890835170928,0.3561258031665649,0.9994862156470095,0.9821596519447364,0.6892023915598018
2020-03-29,0.00039698187879047683,7.138745921342921e-06,0.3262091555809363,0.24945641922109946,0.9994862156470095,0.9821596519447364,0.6905474626368682
2020-03-30,0.0004542391058051676,8.551099779198868e-06,0.4414826374409827,0.47622856946631487,0.9995102254502114,0.9821596519447364,0.7757579529904447
2020-03-31,0.0005179255550021843,1.0498943251407778e-05,0.4239885580071355,0.497214271873532,0.9996138451208186,0.9821596519447364,0.8142894166377206
2020-04-01,0.0005862372957431772,1.303917210949464e-05,0.43953148490557015,0.5081958755613077,0.9996153076638907,0.9921404106678375,0.8361737665697382
2020-04-02,0.000666259524988048,1.5485690285069747e-05,0.4403140944163875,0.5133693083751949,0.9996153076638907,0.9921404106678375,0.8582946702932425
2020-04-03,0.000755676250154725,1.8256849039346193e-05,0.4726825617913796,0.5210681475861381,0.9996153076638907,0.9921404106678375,0.9138614842324184
